Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,200.0,200.0,200.0,200.0
600,200.02,214.27,203.46,214.27
1200,200.32,220.3,206.05,220.306
1800,201.12,224.93,208.44,224.938
2400,202.31,228.72,210.71,228.722
3000,203.78,232.27,212.98,232.28
3600,205.44,235.27,215.19,235.274
4200,207.23,238.14,217.41,238.15
4800,209.13,240.78,219.6,240.79
5400,211.09,243.25,221.78,243.258
6000,213.11,245.63,223.93,245.64
6600,215.12,247.65,225.96,247.656
7200,217.14,249.99,228.04,250.0
7800,219.16,242.24,227.91,242.244
8400,221.04,234.72,226.93,234.72
9000,222.5,228.36,225.68,228.354
9600,223.45,222.38,224.17,222.374
10200,223.9,217.17,222.57,217.166
10800,223.93,212.73,220.92,212.73
11400,223.58,208.69,219.22,208.68
12000,222.95,205.79,217.64,205.788
12600,222.08,203.19,216.07,203.184
13200,221.05,201.46,214.66,201.45
13800,219.91,200.39,213.42,200.386
14400,218.72,200.0,212.39,200.0
