Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,203.6,203.6,203.6,203.6
600,203.6,204.98,203.8,205.0
1200,203.62,206.89,204.22,206.93333333333337
1800,203.71,209.43,204.86,209.5
2400,203.91,212.93,205.82,213.03333333333333
3000,204.25,217.59,207.17,217.73333333333332
3600,204.8,223.61,209.02,223.8
4200,205.61,231.71,211.54,231.96666666666667
4800,206.77,241.72,214.81,242.06666666666663
5400,208.36,253.72,218.88,254.15
6000,210.45,267.57,223.84,268.1
6600,213.14,282.95,229.78,283.58333333333337
7200,216.51,299.29,236.5,300.0
7800,220.57,315.62,243.84,316.41666666666663
8400,225.37,331.04,251.69,331.9
9000,230.82,344.98,259.67,345.85
9600,236.82,357.08,267.62,357.9666666666667
10200,243.29,367.14,275.46,368.0333333333333
10800,250.14,375.31,283.05,376.2
11400,257.23,381.41,290.31,382.26666666666665
12000,264.28,386.17,297.02,386.96666666666664
12600,271.17,389.73,303.21,390.5
13200,277.94,392.33,309.06,393.06666666666666
13800,284.55,394.3,314.56,395.0
14400,290.95,395.74,319.73,396.4
