Time (s),T_outer (C),T_inner (C),T_ave (C),Input Temperature (C)
0,390.0,390.0,390.0,390.0
600,390.0,398.18,391.25,398.3333333333333
1200,390.06,406.43,393.23,406.6666666666667
1800,390.35,414.7,395.66,415.0
2400,390.99,414.8,397.21,415.0
3000,391.95,414.82,398.34,415.0
3600,393.06,414.83,399.32,415.0
4200,394.2,414.84,400.2,415.0
4800,395.32,414.85,401.02,415.0
5400,396.39,414.86,401.79,415.0
6000,397.4,414.87,402.52,415.0
6600,398.37,414.88,403.2,415.0
7200,399.28,414.88,403.85,415.0
7800,400.14,406.71,403.21,406.6666666666667
8400,400.89,398.46,401.81,398.3333333333333
9000,401.37,390.2,399.92,390.0
9600,401.46,390.11,398.89,390.0
10200,401.19,390.09,398.25,390.0
10800,400.73,390.08,397.73,390.0
11400,400.2,390.08,397.29,390.0
12000,399.67,390.07,396.88,390.0
12600,399.15,390.07,396.5,390.0
13200,398.65,390.07,396.14,390.0
13800,398.18,390.06,395.8,390.0
14400,397.73,390.06,395.48,390.0
