Time (s),T_outer (C),T_inner (C),T_ave (C),Input Temperature (C)
0,450.0,450.0,450.0,450.0
600,450.0,461.45,451.74,461.6666666666667
1200,450.08,473.0,454.5,473.3333333333333
1800,450.48,484.58,457.89,485.0
2400,451.35,484.72,460.05,485.0
3000,452.66,484.75,461.62,485.0
3600,454.19,484.77,462.97,485.0
4200,455.77,484.78,464.2,485.0
4800,457.32,484.79,465.34,485.0
5400,458.8,484.8,466.41,485.0
6000,460.22,484.82,467.42,485.0
6600,461.56,484.83,468.37,485.0
7200,462.82,484.83,469.27,485.0
7800,464.02,473.4,468.39,473.3333333333333
8400,465.08,461.85,466.43,461.6666666666667
9000,465.76,450.28,463.8,450.0
9600,465.91,450.15,462.36,450.0
10200,465.55,450.13,461.48,450.0
10800,464.93,450.12,460.77,450.0
11400,464.21,450.11,460.15,450.0
12000,463.47,450.1,459.59,450.0
12600,462.76,450.1,459.06,450.0
13200,462.07,450.09,458.57,450.0
13800,461.42,450.09,458.1,450.0
14400,460.81,450.08,457.66,450.0
