Time (s),T_outer (C),T_inner (C),T_ave (C),Input Temperature (C)
0,100.0,100.0,100.0,100.0
600,100.04,132.67,106.53,133.33333333333331
1200,100.95,165.67,116.32,166.66666666666666
1800,103.84,198.73,128.09,200.0
2400,108.89,231.8,141.49,233.33333333333331
3000,115.92,264.91,156.13,266.66666666666663
3600,124.71,298.06,171.97,300.0
4200,135.02,331.23,188.89,333.3333333333333
4800,146.59,364.36,206.63,366.66666666666663
5400,159.23,397.56,225.03,400.0
6000,172.83,430.79,244.11,433.3333333333333
6600,187.26,464.01,263.86,466.66666666666663
7200,202.28,497.19,284.03,500.0
7800,218.31,497.67,299.29,500.0
8400,234.34,497.89,312.18,500.0
9000,249.89,498.03,323.71,500.0
9600,264.82,498.16,334.42,500.0
10200,278.44,498.29,344.37,500.0
10800,291.19,498.39,353.53,500.0
11400,303.31,498.49,362.1,500.0
12000,314.76,498.58,370.16,500.0
12600,325.03,498.67,377.66,500.0
13200,334.81,498.75,384.62,500.0
13800,344.1,498.82,391.16,500.0
14400,352.9,498.89,397.32,500.0
