Time (s),T_outer (C),T_inner (C),T_ave (C),Input Temperature (C)
0,150.0,150.0,150.0,150.0
600,150.01,166.33,152.8,166.66666666666666
1200,150.37,182.83,157.3,183.33333333333331
1800,151.61,199.36,162.79,200.0
2400,153.86,199.56,166.34,200.0
3000,156.79,199.61,169.0,200.0
3600,159.83,199.64,171.34,200.0
4200,162.74,199.67,173.46,200.0
4800,165.47,199.69,175.41,200.0
5400,168.0,199.72,177.22,200.0
6000,170.35,199.74,178.9,200.0
6600,172.53,199.76,180.45,200.0
7200,174.55,199.77,181.89,200.0
7800,176.41,183.46,180.46,183.33333333333337
8400,177.8,166.97,177.26,166.66666666666669
9000,178.21,150.47,172.93,150.0
9600,177.53,150.28,170.4,150.0
10200,176.05,150.24,168.73,150.0
10800,174.33,150.22,167.32,150.0
11400,172.63,150.2,166.05,150.0
12000,171.01,150.19,164.89,150.0
12600,169.51,150.17,163.82,150.0
13200,168.1,150.16,162.83,150.0
13800,166.8,150.15,161.9,150.0
14400,165.59,150.14,161.05,150.0
