Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input (C)
0.0,215.0,215.0,215.0,215.0
160.92,215.0,216.41,215.14,216.41
340.92,215.0,218.01,215.39,218.01
460.92,215.0,219.08,215.59,219.08
580.92,215.01,220.15,215.81,220.15
760.92,215.02,221.76,216.18,221.76
880.92,215.03,222.83,216.45,222.83
1060.9,215.07,224.45,216.88,224.45
1180.9,215.1,225.52,217.18,225.52
1300.9,215.15,226.6,217.49,226.6
1480.9,215.23,228.21,217.99,228.21
1600.9,215.3,229.28,218.34,229.28
1780.9,215.43,230.9,218.88,230.9
1900.9,215.53,231.97,219.25,231.97
2020.9,215.65,233.05,219.63,233.05
2200.9,215.84,234.66,220.23,234.66
2320.9,215.98,235.74,220.63,235.74
2500.9,216.22,237.35,221.27,237.35
2620.9,216.4,238.43,221.7,238.43
2740.9,216.59,239.51,222.14,239.51
2920.9,216.89,241.12,222.82,241.12
3040.9,217.11,242.2,223.28,242.2
3220.9,217.46,243.81,223.99,243.81
3340.9,217.7,244.89,224.48,244.89
3460.9,217.96,245.97,224.97,245.97
3640.9,218.37,247.58,225.73,247.58
3760.9,218.66,248.66,226.24,248.66
3940.9,219.11,250.28,227.03,250.28
4060.9,219.42,251.35,227.56,251.35
4180.9,219.74,252.43,228.1,252.43
4360.9,220.25,254.05,228.93,254.05
4480.9,220.6,255.13,229.48,255.13
4660.9,221.14,256.74,230.34,256.74
4780.9,221.52,257.82,230.92,257.82
4900.9,221.9,258.9,231.5,258.9
5080.9,222.5,260.52,232.38,260.52
5200.9,222.9,261.6,232.96,261.6
5380.9,223.53,263.22,233.85,263.22
5500.9,223.95,264.3,234.45,264.3
5620.9,224.39,265.38,235.07,265.38
5800.9,225.05,266.99,236.0,266.99
5920.9,225.51,268.07,236.62,268.07
6100.9,226.2,269.69,237.58,269.69
6220.9,226.67,270.77,238.22,270.77
6340.9,227.16,271.85,238.87,271.85
6520.9,227.89,273.47,239.86,273.47
6640.9,228.39,274.54,240.52,274.54
6820.9,229.16,276.16,241.53,276.16
6940.9,229.68,277.24,242.21,277.24
7060.9,230.21,278.32,242.89,278.32
7240.9,231.01,279.94,243.93,279.94
7360.9,231.56,281.02,244.63,281.02
7540.9,232.39,282.64,245.69,282.64
7660.9,232.95,283.72,246.4,283.72
7780.9,233.52,284.8,247.11,284.8
7960.9,234.39,286.42,248.2,286.42
8080.9,234.98,287.5,248.93,287.5
8260.9,235.88,289.12,250.03,289.12
8380.9,236.48,290.2,250.77,290.2
8500.9,237.09,291.28,251.51,291.28
8680.9,238.02,292.9,252.64,292.9
8800.9,238.65,293.98,253.4,293.98
8980.9,239.6,295.6,254.54,295.6
9100.9,240.24,296.68,255.31,296.68
9220.9,240.89,297.76,256.08,297.76
9400.9,241.87,299.38,257.24,299.38
9520.9,242.53,300.46,258.02,300.46
9700.9,243.54,302.08,259.2,302.08
9820.9,244.22,303.16,260.0,303.16
9940.9,244.9,304.24,260.79,304.24
10121.0,245.91,305.87,261.96,305.87
10241.0,246.59,306.95,262.74,306.95
10421.0,247.61,308.57,263.91,308.57
10541.0,248.29,309.65,264.7,309.65
10661.0,248.98,310.73,265.49,310.73
10841.0,250.03,312.35,266.69,312.35
10961.0,250.73,313.43,267.49,313.43
11141.0,251.78,315.05,268.71,315.05
11261.0,252.5,316.13,269.52,316.13
11381.0,253.21,317.22,270.34,317.22
11561.0,254.29,318.84,271.57,318.84
11681.0,255.02,319.92,272.4,319.92
11861.0,256.12,321.54,273.65,321.54
11981.0,256.86,322.62,274.48,322.62
12101.0,257.6,323.7,275.32,323.7
12281.0,258.72,325.32,276.58,325.32
12401.0,259.48,326.4,277.43,326.4
12581.0,260.61,328.02,278.7,328.02
12701.0,261.38,329.1,279.56,329.1
12821.0,262.15,330.19,280.41,330.19
13001.0,263.31,331.81,281.7,331.81
13121.0,264.08,332.89,282.57,332.89
13301.0,265.26,334.51,283.87,334.51
13421.0,266.05,335.59,284.74,335.59
13541.0,266.84,336.67,285.62,336.67
13721.0,268.03,338.29,286.93,338.29
13841.0,268.83,339.38,287.81,339.38
14021.0,270.04,341.0,289.14,341.0
14141.0,270.85,342.08,290.03,342.08
14261.0,271.67,343.16,290.92,343.16
14400.0,272.61,344.41,291.95,344.41
