Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,105.4,105.4,105.4,105.4
600,105.4,107.5,105.73,107.53333333333332
1200,105.45,110.5,106.43,110.56666666666666
1800,105.65,114.1,107.45,114.2
2400,106.06,119.38,108.99,119.53333333333332
3000,106.74,126.45,111.18,126.66666666666669
3600,107.8,135.51,114.19,135.8
4200,109.34,147.57,118.28,147.96666666666667
4800,111.5,162.55,123.44,163.06666666666666
5400,114.39,180.54,129.99,181.2
6000,118.17,201.33,137.97,202.13333333333333
6600,122.94,224.38,147.34,225.33333333333337
7200,128.82,248.93,157.99,250.0
7800,135.79,273.46,169.61,274.6666666666667
8400,143.83,296.6,181.79,297.8666666666667
9000,152.81,317.48,194.29,318.8
9600,162.59,336.01,206.75,337.3333333333333
10200,172.83,350.72,218.7,352.03333333333336
10800,183.56,362.89,230.27,364.2
11400,194.59,372.1,241.39,373.3666666666667
12000,205.22,379.29,251.49,380.4666666666667
12600,215.6,384.67,260.86,385.8
13200,225.82,388.56,269.68,389.6333333333333
13800,235.77,391.45,277.96,392.46666666666664
14400,245.24,393.65,285.66,394.6
