Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,300.0,300.0,300.0,300.0
600,300.0,309.97,301.59,310.09000000000003
1200,300.14,314.13,303.05,314.26666666666665
1800,300.55,317.44,304.49,317.58500000000004
2400,301.22,320.21,305.9,320.36
3000,302.08,322.64,307.3,322.8
3600,303.07,324.84,308.7,325.0
4200,304.17,326.83,310.11,326.9916666666667
4800,305.34,328.68,311.52,328.84999999999997
5400,306.58,330.43,312.94,330.6
6000,307.85,332.09,314.35,332.26
6600,309.17,333.67,315.76,333.84333333333336
7200,310.5,335.19,317.17,335.36
7800,311.86,336.62,318.57,336.7933333333333
8400,313.22,338.01,319.96,338.18
9000,314.6,339.35,321.33,339.52
9600,315.97,340.65,322.7,340.81666666666666
10200,317.35,341.91,324.06,342.075
10800,318.72,343.13,325.4,343.3
11400,320.09,344.32,326.72,344.48333333333335
12000,321.44,345.48,328.02,345.64000000000004
12600,322.76,346.61,329.27,346.765
13200,324.05,347.71,330.51,347.86333333333334
13800,325.34,348.79,331.74,348.94166666666666
14400,326.61,349.85,332.96,350.0
