Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,200.5,200.5,200.5,200.5
600,200.5,200.83,200.55,200.83333333333337
1200,200.51,201.32,200.65,201.33333333333331
1800,200.53,202.18,200.84,202.2
2400,200.58,203.63,201.19,203.66666666666663
3000,200.68,205.84,201.75,205.9
3600,200.87,209.4,202.66,209.5
4200,201.2,215.11,204.13,215.26666666666665
4800,201.73,223.75,206.42,224.0
5400,202.6,236.14,209.87,236.5
6000,203.96,253.45,214.79,253.96666666666667
6600,206.01,274.94,221.39,275.6333333333333
7200,208.95,299.16,229.59,300.0
7800,212.97,323.39,238.99,324.3666666666667
8400,218.14,345.0,248.91,346.0333333333333
9000,224.39,362.43,258.81,363.5
9600,231.56,374.94,268.34,376.0
10200,239.33,383.74,277.12,384.7333333333333
10800,247.32,389.55,285.09,390.5
11400,255.42,393.2,292.48,394.1
12000,263.46,395.48,299.32,396.3333333333333
12600,271.3,397.0,305.67,397.8
13200,278.86,397.91,311.57,398.6666666666667
13800,285.81,398.47,316.95,399.1666666666667
14400,292.35,398.85,321.89,399.5
