Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,150.7,150.7,150.7,150.7
600,150.7,151.19,150.78,151.20000000000002
1200,150.71,151.98,150.94,152.0
1800,150.75,153.27,151.25,153.3
2400,150.85,155.41,151.78,155.46666666666667
3000,151.03,158.81,152.66,158.9
3600,151.36,164.06,154.08,164.2
4200,151.92,172.76,156.39,173.0
4800,152.85,185.63,159.95,186.0
5400,154.33,204.16,165.25,204.7
6000,156.62,230.15,172.86,230.93333333333337
6600,160.01,262.4,182.96,263.43333333333334
7200,164.83,298.74,195.48,300.0
7800,171.3,335.14,209.74,336.56666666666666
8400,179.46,367.51,224.79,369.06666666666666
9000,189.12,393.72,239.6,395.3
9600,200.05,412.44,253.84,414.0
10200,211.73,425.57,266.97,427.03333333333336
10800,223.67,434.39,278.91,435.8
11400,235.77,439.77,289.96,441.1
12000,247.77,443.28,300.2,444.53333333333336
12600,259.03,445.53,309.52,446.7
13200,269.76,446.9,318.03,448.0
13800,280.07,448.06,326.01,449.1
14400,289.91,448.53,333.44,449.5
